index,name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,seats,price_per_kg
35,Maruti Alto 800 CNG LXI Optional,6,330000,10000,CNG,Individual,Manual,Second Owner,33.44,796.0,40.3,4.0,9868
36,Maruti Alto K10 VXI Airbag,6,366000,15000,Petrol,Individual,Manual,First Owner,23.95,998.0,67.1,5.0,15281
37,Hyundai Verna VTVT 1.6 SX Option,6,1149000,5000,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,67588
38,Datsun GO D,9,150000,42000,Petrol,Individual,Manual,First Owner,20.63,1198.0,67.0,5.0,7270
39,Tata Safari DICOR 2.2 LX 4x2,14,425000,60000,Diesel,Individual,Manual,Second Owner,13.93,2179.0,138.03,7.0,30509
40,Maruti 800 Std,13,150000,76000,Petrol,Individual,Manual,First Owner,16.1,796.0,37.0,4.0,9316
41,Jeep Compass 1.4 Limited Plus BSIV,6,2100000,5000,Petrol,Individual,Automatic,First Owner,16.0,1368.0,160.77,5.0,131250
42,Honda City i VTEC VX,7,925000,28900,Petrol,Dealer,Manual,First Owner,17.8,1497.0,117.3,5.0,51966
43,Honda City V MT,12,425000,86300,Petrol,Dealer,Manual,First Owner,16.8,1497.0,116.3,5.0,25297
44,Maruti Swift Dzire VXi AT,7,675000,23300,Petrol,Dealer,Automatic,First Owner,18.5,1197.0,83.14,5.0,36486
45,Maruti Vitara Brezza VDi,7,819999,32600,Diesel,Dealer,Manual,First Owner,24.3,1248.0,88.5,5.0,33744
46,Maruti Alto K10 VXI,7,390000,10300,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,16283
47,Toyota Fortuner 4x4 MT,11,1500000,77000,Diesel,Dealer,Manual,First Owner,12.55,2982.0,168.5,7.0,119521
48,Toyota Innova 2.5 G (Diesel) 7 Seater BS IV,12,700000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.0,7.0,53887
49,Mercedes-Benz B Class B180,11,1450000,27800,Diesel,Dealer,Automatic,Second Owner,14.8,2143.0,120.7,5.0,97972
50,Honda Amaze S Diesel,10,425000,49800,Diesel,Dealer,Manual,First Owner,24.7,1498.0,98.63,5.0,17206
51,Mitsubishi Pajero Sport 4X4,12,1090000,151000,Diesel,Dealer,Manual,First Owner,13.5,2477.0,175.56,7.0,80740
52,Honda City i DTEC S,10,600000,54700,Diesel,Dealer,Manual,First Owner,26.0,1498.0,98.6,5.0,23076
53,Maruti Ciaz Zeta,7,850000,64000,Petrol,Dealer,Manual,First Owner,20.65,1462.0,103.25,5.0,41162
54,Honda Jazz VX Diesel,10,525000,63000,Diesel,Dealer,Manual,First Owner,27.3,1498.0,98.6,5.0,19230
55,Toyota Innova Crysta 2.8 ZX AT BSIV,9,1650000,127700,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0,145246
56,Toyota Innova 2.5 G (Diesel) 7 Seater,9,950000,99000,Diesel,Dealer,Manual,First Owner,12.99,2494.0,100.6,7.0,73133
57,Audi A6 2.0 TDI Technology,12,1750000,33900,Diesel,Dealer,Automatic,Second Owner,17.68,1968.0,174.33,5.0,98981
58,Toyota Corolla Altis 1.8 VL CVT,7,1590000,25000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0,111344
59,Audi A6 2.0 TDI  Design Edition,12,1689999,50000,Diesel,Dealer,Automatic,First Owner,18.53,1968.0,187.74,5.0,91203
60,Mercedes-Benz New C-Class 220 CDI AT,12,1425000,59000,Diesel,Dealer,Automatic,First Owner,14.84,2143.0,170.0,5.0,96024
61,Tata Manza ELAN Quadrajet BS IV,14,265000,120000,Diesel,Individual,Manual,First Owner,21.12,1248.0,88.8,5.0,12547
62,Hyundai i10 Magna,14,190000,110000,Petrol,Individual,Manual,Third Owner,20.36,1197.0,78.9,5.0,9332
63,Hyundai i20 Asta 1.4 CRDi,12,425000,60000,Diesel,Individual,Manual,First Owner,21.27,1396.0,88.76,5.0,19981
64,Maruti Swift Dzire ZDI,10,630000,147000,Diesel,Individual,Manual,Second Owner,26.59,1248.0,74.0,5.0,23693
65,Ford Figo 1.2P Titanium MT,8,600000,25000,Petrol,Individual,Manual,Third Owner,18.16,1196.0,86.8,5.0,33039
66,Maruti Baleno Delta 1.2,6,650000,30000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,30373
67,Volkswagen Ameo 1.5 TDI Highline 16 Alloy,9,540000,40000,Diesel,Individual,Manual,First Owner,22.0,1498.0,108.495,5.0,24545
68,Honda City i DTEC VX,10,630000,135000,Diesel,Individual,Manual,First Owner,25.1,1498.0,98.6,5.0,25099
69,Maruti Wagon R AMT VXI,7,448000,30000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0,21843
70,Volkswagen Ameo 1.5 TDI Comfortline,8,500000,80000,Diesel,Individual,Manual,First Owner,21.66,1498.0,108.62,5.0,23084
71,Maruti Vitara Brezza VDi,9,745000,70000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,30658
72,Maruti Vitara Brezza ZDi Plus AMT,6,1025000,9850,Diesel,Individual,Automatic,First Owner,24.3,1248.0,88.5,5.0,42181
73,Hyundai i10 Magna,14,235000,60000,Petrol,Individual,Manual,Second Owner,20.36,1197.0,78.9,5.0,11542
74,Maruti Swift VDI Deca,9,630000,70000,Diesel,Individual,Manual,First Owner,25.2,1248.0,74.0,5.0,25000
75,Toyota Fortuner 4x4 MT,10,1700000,78000,Diesel,Individual,Manual,Second Owner,12.55,2982.0,168.5,7.0,135458
76,Maruti Swift Star VDI,12,450000,120000,Diesel,Individual,Manual,Second Owner,22.9,1248.0,74.0,5.0,19650
77,Maruti Ertiga ZXI,13,450000,120000,Petrol,Individual,Manual,Second Owner,16.02,1373.0,93.7,7.0,28089
78,Tata Indica DLS,22,50000,70000,Diesel,Individual,Manual,First Owner,19.41878335651954,,0.0,,2574
79,Volkswagen Vento Diesel Highline,12,450000,170000,Diesel,Individual,Manual,First Owner,20.54,1598.0,103.6,5.0,21908
80,Toyota Innova 2.5 VX (Diesel) 8 Seater,9,1200000,140000,Diesel,Individual,Manual,First Owner,12.99,2494.0,100.6,8.0,92378
81,Ford EcoSport 1.5 TDCi Titanium Plus BSIV,10,610000,90000,Diesel,Individual,Manual,First Owner,22.77,1498.0,98.59,5.0,26789
82,BMW X1 sDrive20i xLine,9,2500000,30000,Petrol,Individual,Automatic,Second Owner,15.71,1998.0,189.0,5.0,159134
83,Maruti Celerio ZXI MT BSIV,8,484999,10000,Petrol,Dealer,Manual,First Owner,23.1,998.0,67.04,5.0,20995
84,Datsun GO A Petrol,9,275000,49000,Petrol,Dealer,Manual,First Owner,19.02,1198.0,67.05,5.0,14458
85,Maruti Alto 800 VXI BSIV,9,315000,32000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,12753
86,Maruti Alto 800 LXI BSIV,9,275000,38000,Petrol,Dealer,Manual,First Owner,24.7,796.0,47.3,5.0,11133
87,Maruti Swift VDI BSIV W ABS,10,475000,78000,Diesel,Dealer,Manual,First Owner,19.41878335651954,,0.0,,24460
88,Hyundai i10 Era 1.1,13,290000,28000,Petrol,Dealer,Manual,First Owner,19.81,1086.0,68.05,5.0,14639
89,Maruti Omni 8 Seater BSIV,8,280000,32000,Petrol,Dealer,Manual,First Owner,14.0,796.0,35.0,5.0,20000
90,Maruti Wagon R LXI LPG BSIV,15,225000,44000,LPG,Dealer,Manual,First Owner,26.2,998.0,58.2,5.0,8587
91,Volkswagen Polo 1.2 MPI Comfortline,10,455000,42000,Petrol,Dealer,Manual,First Owner,16.47,1198.0,74.0,5.0,27625
92,Hyundai i10 Magna 1.1L,10,351000,45000,Petrol,Dealer,Manual,Second Owner,19.81,1086.0,68.05,5.0,17718
93,Volkswagen Vento Petrol Highline,13,535000,12000,Petrol,Dealer,Manual,Second Owner,15.04,1598.0,103.6,5.0,35571
94,Maruti Zen Estilo LXI BSIII,16,175000,55500,Petrol,Dealer,Manual,First Owner,18.2,998.0,67.1,5.0,9615
95,Hyundai i20 Asta Optional with Sunroof 1.2,12,525000,61500,Petrol,Dealer,Manual,First Owner,18.5,1197.0,82.85,5.0,28378
96,Maruti Swift Dzire LDI,9,600000,150000,Diesel,Individual,Manual,First Owner,26.59,1248.0,74.0,5.0,22564
97,Hyundai Xcent 1.2 Kappa SX Option AT,9,565000,72000,Petrol,Dealer,Automatic,First Owner,19.1,1197.0,82.0,5.0,29581
98,Maruti Alto LX BSIII,17,120000,68000,Petrol,Dealer,Manual,Third Owner,19.7,796.0,46.3,5.0,6091
99,Hyundai i20 1.4 Asta Option,8,725000,110000,Diesel,Individual,Manual,First Owner,22.54,1396.0,88.73,5.0,32165
100,Maruti Wagon R VXI,16,185000,77000,Petrol,Dealer,Manual,Second Owner,21.79,998.0,67.05,5.0,8490
101,Tata Manza Aura (ABS) Quadrajet,15,200000,100000,Diesel,Individual,Manual,Second Owner,18.8,1248.0,90.0,5.0,10638
102,Maruti Swift VXI,6,615000,10000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0,28995
103,Maruti Eeco 7 Seater Standard BSIV,9,270000,100000,Petrol,Individual,Manual,Third Owner,15.37,1196.0,73.0,7.0,17566
104,Maruti Baleno Zeta 1.2,7,610000,35000,Petrol,Individual,Manual,First Owner,21.4,1197.0,83.1,5.0,28504
105,Mahindra Scorpio VLX AT AIRBAG BSIV,11,625000,70000,Diesel,Individual,Automatic,Second Owner,11.79,2179.0,120.0,8.0,53011
106,Ford Freestyle Titanium Petrol BSIV,5,400000,5000,Petrol,Individual,Manual,Second Owner,19.0,1194.0,94.68,5.0,21052
107,Hyundai Verna VTVT 1.6 SX,8,866000,37800,Petrol,Individual,Manual,First Owner,17.0,1591.0,121.3,5.0,50941
108,Volkswagen Passat 1.8 TSI MT,15,700000,114000,Petrol,Individual,Manual,First Owner,14.3,1798.0,160.0,5.0,48951
109,Tata Indica Vista Aura 1.2 Safire (ABS) BS IV,15,300000,48000,Petrol,Individual,Manual,First Owner,15.8,1172.0,65.0,5.0,18987
110,Mahindra XUV500 W11 Option AWD,6,1700000,32000,Diesel,Individual,Manual,First Owner,15.1,2179.0,155.0,7.0,112582
111,Tata Indigo CS LS (TDI) BS-III,9,375000,100000,Diesel,Individual,Manual,First Owner,19.09,1405.0,69.01,5.0,19643
112,Hyundai Verna 1.6 SX,12,522000,150000,Diesel,Individual,Manual,Second Owner,22.32,1582.0,126.32,5.0,23387
113,Hyundai i20 Magna 1.4 CRDi (Diesel),12,451999,69000,Diesel,Individual,Manual,First Owner,21.9,1396.0,88.76,5.0,20639
114,Toyota Corolla Altis G,16,300000,100000,Petrol,Individual,Manual,Second Owner,14.53,1798.0,138.1,5.0,20646
115,Maruti Celerio VXI,5,475000,13000,Petrol,Individual,Manual,First Owner,21.63,998.0,67.04,5.0,21960
116,Maruti Vitara Brezza ZDi Plus Dual Tone,9,780000,60000,Diesel,Individual,Manual,First Owner,24.3,1248.0,88.5,5.0,32098
117,Maruti Swift Dzire VXI,8,595000,40000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,28537
118,Maruti Wagon R VXI BS IV,8,440000,35000,Petrol,Individual,Manual,First Owner,20.51,998.0,67.04,5.0,21452
119,Maruti Swift VDI BSIV,15,300000,120000,Diesel,Individual,Manual,Second Owner,19.41878335651954,,0.0,,15448
120,Nissan Terrano XL 85 PS,11,400000,70000,Diesel,Individual,Manual,Third Owner,20.45,1461.0,83.8,5.0,19559
121,Hyundai Creta 1.6 CRDi SX,9,1140000,50000,Diesel,Individual,Manual,First Owner,19.67,1582.0,126.2,5.0,57956
122,Ford EcoSport 1.5 Diesel Titanium Plus BSIV,8,850000,76139,Diesel,Individual,Manual,First Owner,23.0,1498.0,98.96,5.0,36956
123,Maruti Swift Dzire VDi,13,370000,175000,Diesel,Individual,Manual,Fourth & Above Owner,19.3,1248.0,73.9,5.0,19170
124,Renault KWID 1.0,7,350000,25000,Petrol,Individual,Manual,First Owner,23.01,999.0,67.0,5.0,15210
125,Maruti Celerio VXI,10,360000,40000,Petrol,Individual,Manual,Second Owner,23.1,998.0,67.04,5.0,15584
126,Maruti Alto LXi,17,105000,65000,Petrol,Individual,Manual,Fourth & Above Owner,19.7,796.0,46.3,5.0,5329
127,Maruti Ertiga VDI,12,625000,90000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,30091
128,Hyundai Santro Xing GLS,16,135000,80000,Petrol,Individual,Manual,Second Owner,17.92,1086.0,62.1,5.0,7533
129,Maruti Ertiga VDI,10,700000,110000,Diesel,Individual,Manual,Second Owner,20.77,1248.0,88.76,7.0,33702
130,Honda Amaze S i-VTEC,6,690000,1303,Petrol,Dealer,Manual,First Owner,17.8,1198.0,86.7,5.0,38764
131,Audi Q5 35TDI Premium Plus,7,3975000,31800,Diesel,Dealer,Automatic,First Owner,17.01,1968.0,188.0,5.0,233686
133,Jaguar XF 2.0 Diesel Portfolio,8,3200000,45000,Diesel,Dealer,Automatic,First Owner,19.33,1999.0,177.0,5.0,165545
134,Jeep Wrangler 2016-2019 3.6 4X4,8,4100000,17000,Petrol,Individual,Automatic,First Owner,9.5,3604.0,280.0,5.0,431578
135,Land Rover Discovery Sport TD4 SE,6,4500000,21000,Diesel,Dealer,Automatic,First Owner,12.83,1999.0,148.31,7.0,350740
137,BMW 5 Series 520d Sport Line,7,3790000,29500,Diesel,Dealer,Automatic,First Owner,22.48,1995.0,187.74,5.0,168594
138,BMW X1 sDrive 20D xLine,8,2150000,27000,Diesel,Dealer,Automatic,First Owner,19.41878335651954,,0.0,,110717
140,Skoda Superb LK 1.8 TSI AT,7,1864999,50000,Petrol,Dealer,Automatic,First Owner,14.67,1798.0,177.46,5.0,127130
141,Mercedes-Benz E-Class E250 Edition E,9,2700000,35000,Diesel,Dealer,Automatic,First Owner,15.0,2143.0,204.0,5.0,180000
142,MG Hector Sharp AT BSIV,6,1750000,19000,Petrol,Dealer,Automatic,First Owner,13.96,1451.0,141.0,5.0,125358
143,Honda City i-VTEC CVT VX,8,795000,41000,Petrol,Dealer,Automatic,First Owner,18.0,1497.0,117.6,5.0,44166
144,Toyota Corolla Altis 1.8 G CVT,12,625000,39000,Petrol,Dealer,Automatic,First Owner,14.28,1798.0,138.03,5.0,43767
145,Volvo XC40 D4 R-Design,7,3400000,22000,Diesel,Dealer,Automatic,First Owner,18.0,1969.0,190.0,5.0,188888
146,Audi Q7 35 TDI Quattro Premium,10,2650000,53000,Diesel,Dealer,Automatic,First Owner,12.07,2967.0,241.4,7.0,219552
147,Maruti Ciaz ZDi,10,535000,40000,Diesel,Dealer,Manual,First Owner,26.21,1248.0,88.5,5.0,20412
149,BMW 5 Series 523i,15,975000,72200,Petrol,Dealer,Automatic,Second Owner,10.8,2497.0,150.0,5.0,90277
150,Hyundai Elantra S,9,805000,49900,Petrol,Dealer,Manual,First Owner,16.3,1797.0,147.5,5.0,49386
151,Jaguar XE 2016-2019 2.0L Diesel Prestige,8,2625000,9000,Diesel,Dealer,Automatic,First Owner,13.6,1999.0,177.0,5.0,193014
152,Tata Nexon 1.2 Revotron XZ Plus Dual Tone,7,811000,11000,Petrol,Dealer,Manual,First Owner,17.0,1198.0,108.5,5.0,47705
153,Volkswagen Vento Petrol Highline,14,375000,49000,Petrol,Individual,Manual,First Owner,15.04,1598.0,103.6,5.0,24933
154,Hyundai Elantra SX,13,550000,95000,Petrol,Individual,Manual,First Owner,16.3,1797.0,147.5,5.0,33742
155,Skoda Rapid 1.6 MPI AT Elegance,9,645000,11000,Petrol,Dealer,Automatic,First Owner,14.3,1598.0,103.5,5.0,45104
156,Mercedes-Benz CLA 200 CGI Sport,7,2550000,18000,Petrol,Dealer,Automatic,First Owner,15.04,1991.0,183.0,5.0,169547
157,Maruti Ertiga ZXI,11,599000,46100,Petrol,Dealer,Manual,First Owner,16.02,1373.0,93.7,7.0,37390
158,Mercedes-Benz New C-Class C 200 AVANTGARDE,8,2700000,16000,Petrol,Dealer,Automatic,First Owner,14.74,1991.0,181.04,5.0,183175
159,Honda City V AT,8,875000,18000,Petrol,Dealer,Automatic,First Owner,15.6,1497.0,116.3,5.0,56089
160,Toyota Glanza V CVT,6,894999,9654,Petrol,Dealer,Automatic,First Owner,19.56,1197.0,81.8,5.0,45756
161,Maruti Alto K10 VXI,14,175000,11000,Petrol,Dealer,Manual,First Owner,23.95,998.0,67.05,5.0,7306
162,Maruti Swift VXI,13,340000,24300,Petrol,Dealer,Manual,First Owner,21.21,1197.0,81.8,5.0,16030
163,Toyota Innova Crysta 2.8 ZX AT BSIV,9,1525000,42163,Diesel,Dealer,Automatic,Second Owner,11.36,2755.0,171.5,7.0,134242
164,Tata Nexon 1.5 Revotorq XZA Plus DualTone,7,1025000,8000,Diesel,Dealer,Automatic,First Owner,21.5,1497.0,108.5,5.0,47674
165,BMW 3 Series 320d Luxury Line,9,2150000,30000,Diesel,Dealer,Automatic,First Owner,22.69,1995.0,190.0,5.0,94755
166,Toyota Camry 2.5 Hybrid,9,1900000,41000,Petrol,Dealer,Automatic,First Owner,19.16,2494.0,157.7,5.0,99164
167,BMW 5 Series 520d Luxury Line,9,2900000,12000,Diesel,Dealer,Automatic,First Owner,18.12,1995.0,190.0,5.0,160044
168,Toyota Camry W4 (AT),16,450000,71000,Petrol,Dealer,Automatic,First Owner,12.1,2362.0,164.7,5.0,37190
169,Maruti Ertiga BSIV ZXI Plus,9,850000,20000,Petrol,Individual,Manual,First Owner,17.5,1373.0,91.1,7.0,48571
171,Volkswagen Vento Diesel Highline,14,300000,100000,Diesel,Individual,Manual,Second Owner,20.54,1598.0,103.6,5.0,14605
172,Ford Figo Aspire 1.2 Ti-VCT Trend,7,575000,9500,Petrol,Individual,Manual,First Owner,18.16,1196.0,86.8,5.0,31662
173,Ford Figo Diesel LXI,14,160000,120000,Diesel,Individual,Manual,First Owner,20.0,1399.0,68.0,5.0,8000
174,Maruti Swift VXI Optional,10,515000,36600,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0,25245
175,Maruti Wagon R AMT VXI,10,390000,50000,Petrol,Individual,Automatic,Second Owner,20.51,998.0,67.0,5.0,19015
176,Hyundai i20 Magna 1.2,9,550000,14000,Petrol,Individual,Manual,Second Owner,18.6,1197.0,81.83,5.0,29569
177,Maruti 800 Std,26,40000,40000,Petrol,Individual,Manual,Second Owner,16.1,796.0,37.0,4.0,2484
178,Maruti Ritz VDi,15,220000,120000,Diesel,Individual,Manual,First Owner,21.1,1248.0,73.9,5.0,10426
179,Hyundai Grand i10 Magna,10,425000,70000,Petrol,Individual,Manual,First Owner,18.9,1197.0,82.0,5.0,22486
180,Volkswagen Ameo 1.0 MPI Trendline,6,480000,13000,Petrol,Individual,Manual,First Owner,19.44,999.0,75.0,5.0,24691
181,Hyundai Grand i10 Sportz,11,400000,60000,Petrol,Individual,Manual,Second Owner,18.9,1197.0,82.0,5.0,21164
182,Maruti Swift Dzire VXI,11,487000,35000,Petrol,Individual,Manual,First Owner,19.1,1197.0,85.8,5.0,25497
183,Hyundai Xcent 1.2 Kappa S,9,386000,44000,Petrol,Individual,Manual,Second Owner,19.1,1197.0,82.0,5.0,20209
184,Honda City 1.5 EXI,20,100000,120000,Petrol,Individual,Manual,Second Owner,13.0,1493.0,100.0,5.0,7692
185,Toyota Corolla Altis Diesel D4DG,15,300000,60000,Diesel,Individual,Manual,First Owner,21.43,1364.0,87.2,5.0,13999
186,Daewoo Matiz SD,25,100000,60000,Petrol,Individual,Manual,First Owner,18.5,796.0,53.0,5.0,5405
187,Toyota Fortuner 4x2 Manual,11,1750000,30000,Diesel,Individual,Manual,Second Owner,13.0,2982.0,168.5,7.0,134615
188,Mahindra KUV 100 mFALCON G80 K8,9,450000,15000,Petrol,Individual,Manual,Second Owner,18.15,1198.0,82.0,6.0,24793
189,Tata Zest Quadrajet 1.3 75PS XM,8,490000,90000,Diesel,Individual,Manual,First Owner,22.95,1248.0,74.0,5.0,21350
190,Honda City 1.5 S MT,16,345000,47000,Petrol,Individual,Manual,Second Owner,17.0,1497.0,118.0,5.0,20294
191,Maruti Zen LXI,20,85000,90000,Petrol,Individual,Manual,First Owner,17.3,993.0,60.0,5.0,4913
192,Maruti Wagon R VXI BS IV with ABS,15,215000,120600,Petrol,Individual,Manual,Second Owner,18.9,998.0,67.1,5.0,11375
193,Hyundai Verna Transform SX VTVT,15,320000,100000,Petrol,Individual,Manual,Third Owner,16.2,1599.0,103.2,5.0,19753
194,Maruti Swift Dzire VXI,9,459999,60000,Petrol,Individual,Manual,Second Owner,20.85,1197.0,83.14,5.0,22062
195,Hyundai Getz GLS,20,65000,86000,Petrol,Individual,Manual,First Owner,15.3,1341.0,83.0,5.0,4248
196,Hyundai Elite i20 Sportz Plus BSIV,5,720000,5000,Petrol,Individual,Manual,First Owner,18.6,1197.0,81.86,5.0,38709
197,Maruti Ciaz 1.3 Alpha,8,800000,37000,Diesel,Individual,Manual,First Owner,28.09,1248.0,88.5,5.0,28479
198,Tata Tigor 1.2 Revotron XZ,6,520000,14000,Petrol,Individual,Manual,First Owner,20.3,1199.0,84.0,5.0,25615
199,Maruti Ertiga VDI,10,580000,70000,Diesel,Individual,Manual,First Owner,20.77,1248.0,88.76,7.0,27924
200,Toyota Etios GD,13,235000,120000,Diesel,Individual,Manual,First Owner,19.41878335651954,,0.0,,12101
201,Honda City i VTEC S,10,600000,50000,Petrol,Individual,Manual,First Owner,17.4,1497.0,117.3,5.0,34482
202,Honda Brio S MT,11,290000,60000,Petrol,Individual,Manual,Second Owner,19.4,1198.0,86.8,5.0,14948
203,Maruti Wagon R LXI CNG,9,360000,50000,CNG,Individual,Manual,First Owner,26.6,998.0,58.16,5.0,13533
204,Maruti Swift Dzire VXI,8,550000,50000,Petrol,Individual,Manual,First Owner,20.85,1197.0,83.14,5.0,26378
205,Hyundai i20 Sportz 1.2,12,375000,70000,Petrol,Individual,Manual,First Owner,18.5,1197.0,82.85,5.0,20270
206,Maruti Omni E 8 Str STD,22,40000,90000,Petrol,Individual,Manual,Second Owner,19.41878335651954,,0.0,,2059
207,Maruti Wagon R AMT VXI,7,420000,35000,Petrol,Individual,Automatic,First Owner,20.51,998.0,67.0,5.0,20477
208,Maruti Swift Dzire VXI 1.2,8,550000,20000,Petrol,Individual,Manual,First Owner,21.21,1197.0,81.8,5.0,25931
209,Maruti Alto 800 LXI,7,270000,20000,Petrol,Individual,Manual,First Owner,24.7,796.0,47.3,5.0,10931
210,Maruti Swift Dzire AMT VXI BS IV,7,700000,7800,Petrol,Individual,Automatic,First Owner,22.0,1197.0,81.8,5.0,31818
211,Maruti Swift VXI Optional,8,500000,20000,Petrol,Individual,Manual,First Owner,20.4,1197.0,81.8,5.0,24509
212,Tata Hexa XE,6,1250000,15000,Diesel,Individual,Manual,First Owner,17.6,2179.0,147.94,7.0,71022
213,Hyundai i20 Magna,12,320000,31377,Petrol,Individual,Manual,Second Owner,18.5,1197.0,82.85,5.0,17297
